City,Restaurant Name,Cuisine Type,Price (JPY),Price (THB),Google Maps,Restaurant Photo (Formula)
Kyoto,Mishimatei,Sukiyaki,¥12k - ¥18k,2400 - 3600 THB,[Map Link](https://www.google.com/maps/search/Mishimatei+Kyoto),
Kyoto,Honke Owariya,Soba,¥1.5k - ¥3k,300 - 600 THB,[Map Link](https://www.google.com/maps/search/Honke+Owariya+Kyoto),
Kyoto,Menya Inoichi,Refined Ramen,¥1.2k - ¥2k,240 - 400 THB,[Map Link](https://www.google.com/maps/search/Menya+Inoichi+Kyoto),
Kyoto,Gion Karyo,Kaiseki,¥10k - ¥20k,2000 - 4000 THB,[Map Link](https://www.google.com/maps/search/Gion+Karyo),
Kyoto,Katsukura Sanjo,Tonkatsu,¥2k - ¥3.5k,400 - 700 THB,[Map Link](https://www.google.com/maps/search/Katsukura+Sanjo),
Kyoto,Izuju Sushi,Kyoto-style Sushi,¥3k - ¥5k,600 - 1000 THB,[Map Link](https://www.google.com/maps/search/Izuju+Sushi),
Kyoto,Chao Chao Gyoza,Gyoza/Dumplings,¥1k - ¥2k,200 - 400 THB,[Map Link](https://www.google.com/maps/search/Chao+Chao+Gyoza+Kyoto),
Kyoto,Shigetsu,Zen Vegetarian,¥4k - ¥6k,800 - 1200 THB,[Map Link](https://www.google.com/maps/search/Shigetsu+Kyoto),
Uji,Nakamura Tokichi,Tea House,¥2k - ¥3k,400 - 600 THB,[Map Link](https://www.google.com/maps/search/Nakamura+Tokichi+Uji),
Uji,Itoh Kyuemon,Matcha Soba,¥1.5k - ¥2.5k,300 - 500 THB,[Map Link](https://www.google.com/maps/search/Itoh+Kyuemon+Uji),
Uji,Tatsumiya,Matcha Kaiseki,¥8k - ¥15k,1600 - 3000 THB,[Map Link](https://www.google.com/maps/search/Tatsumiya+Uji),
Uji,Tsuen Tea,Oldest Tea House,¥1k - ¥2k,200 - 400 THB,[Map Link](https://www.google.com/maps/search/Tsuen+Tea+Uji),
Uji,Agetsuchi,Tempura,¥2k - ¥4k,400 - 800 THB,[Map Link](https://www.google.com/maps/search/Agetsuchi+Uji),
Uji,Renge-chaya,Traditional Bento,¥2k - ¥3.5k,400 - 700 THB,[Map Link](https://www.google.com/maps/search/Renge-chaya+Uji),
Uji,Kyoto Rokujoan,Fusion / Burgers,¥1.5k - ¥2.5k,300 - 500 THB,[Map Link](https://www.google.com/maps/search/Kyoto+Rokujoan+Uji),
Uji,Kyotousen,Traditional Japanese,¥2.5k - ¥4k,500 - 800 THB,[Map Link](https://www.google.com/maps/search/Kyotousen+Uji),
Kamakura,Matsubara-an,Soba/Villa,¥4k - ¥8k,800 - 1600 THB,[Map Link](https://www.google.com/maps/search/Matsubara-an+Kamakura),
Kamakura,Caraway,Japanese Curry,¥1.2k - ¥1.8k,240 - 360 THB,[Map Link](https://www.google.com/maps/search/Caraway+Kamakura),
Kamakura,Raitei,Soba/Garden View,¥5k - ¥10k,1000 - 2000 THB,[Map Link](https://www.google.com/maps/search/Raitei+Kamakura),
Kamakura,Hachinoki,Buddhist Veg,¥5k - ¥8k,1000 - 1600 THB,[Map Link](https://www.google.com/maps/search/Hachinoki+Kamakura),
Kamakura,Ichirin Hanare,Fusion Omakase,¥15k - ¥25k,3000 - 5000 THB,[Map Link](https://www.google.com/maps/search/Ichirin+Hanare+Kamakura),
Kamakura,Shirasuya,Fresh Seafood,¥1.8k - ¥3k,360 - 600 THB,[Map Link](https://www.google.com/maps/search/Shirasuya+Kamakura),
Kamakura,Taiyaki Namihei,Snack/Dessert,¥0.3k - ¥0.8k,60 - 160 THB,[Map Link](https://www.google.com/maps/search/Taiyaki+Namihei+Kamakura),
Kamakura,Kamakura Kura,Shirasu Don,¥1.5k - ¥2.5k,300 - 500 THB,[Map Link](https://www.google.com/maps/search/Kamakura+Kura),
